,message,created_time,id,permalink_url,likes,tra,translation,translation pre
63,"LANÇAMENTO! Formação Prática em Deep Learning e TensorFlow com Python! Crie passo a passo 16 projetos utilizando modernas técnicas de Machine Learning! Curso com preço promocional de lançamento por somente R$ 20,00 válido até 02/02/2020 até 14h (horário de Brasília) - depois desta data o preço volta ao normal, de acordo com a plataforma

Veja abaixo alguns dos principais projetos que você desenvolverá passo a passo, que abordam desde assuntos básico até conteúdos avançados:

- Criação de imagens alucinógenas com Deep Dream
- Geração automática de textos com Redes Neurais Recorrentes
- Geração de novas imagens com GANs
- Retirada de ruído de imagens com Autoencoders
- Compactação de imagens com Autoencoders
- Previsão do uso de bicicletas alugas com regressão
- Classificação de textos e análise de sentimentos
- Classificação de sinais de trânsito com Redes Neurais Convolucionais
- Transferência de Aprendizagem com TensorFlow Hub",2020-01-29T17:38:01+0000,228782997490446_1035374173497987,https://www.facebook.com/228782997490446/posts/1035374173497987/,81,,"LAUNCH! Practical Training in Deep Learning and TensorFlow with Python! Create step-by-step 16 projects using modern Machine Learning techniques! Course with promotional launch price for only R$ 20.00 valid until 02/02/2020 until 14:00 (Brasilia time) - after this date the price returns to normal, according to the platform

Below are some of the main projects that you will develop step by step, ranging from basic subjects to advanced content:

- Creating hallucinogenic images with Deep Dream
- Automatic generation of texts with Recurrent Neural Networks
- Generation of new images with GANs
- Denoising images with Autoencoders
- Image compression with Autoencoders
- Forecast for rented bikes with regression
- Text classification and sentiment analysis
- Classification of traffic signs with Convolutional Neural Networks
- Learning Transfer with TensorFlow Hub","launch practical training deep learning tensorflow python create step step projects modern machine learning techniques course promotional launch price r$ 20.00 valid 02/02/2020 14:00 brasilia time date price returns normal according platform 

 main projects develop step step ranging basic subjects advanced content 

 creating hallucinogenic images deep dream 
 automatic generation texts recurrent neural networks 
 generation new images gans 
 denoising images autoencoders 
 image compression autoencoders 
 forecast rented bikes regression 
 text classification sentiment analysis 
 classification traffic signs convolutional neural networks 
 learning transfer tensorflow hub"
32,"LANÇAMENTO! Atendendo a vários pedidos, acabamos de lançar a Formação em Deep Learning com PyTorch e Python! O curso possui conteúdo parecido com o Deep Learning com Python de A à Z, porém, com a codificação 100% desenvolvida com a biblioteca PyTorch! Veja abaixo um resumo do conteúdo:

• Séries temporais com redes neurais recorrentes
• Classificação e regressão com redes neurais artificiais
• Classificação de imagens com redes neurais convolucionais
• Compactação de imagens com autoencoders
• Geração de imagens com GANs
• Detecção de objetos com Transferência de Aprendizagem
• E uma nova técnica chamada Transferência de Estilo, para combinação de imagens

O curso está com o valor promocional de R$ 19,99 válido até a próxima terça-feira!",2020-02-27T12:51:27+0000,228782997490446_1057294617972609,https://www.facebook.com/228782997490446/posts/1057294617972609/,59,,"LAUNCH! In response to a number of requests, we have just launched Deep Learning Training with PyTorch and Python! The course has content similar to Deep Learning with Python from A to Z, however, with coding 100% developed with the PyTorch library! Below is a summary of the content:

• Time series with recurrent neural networks
• Classification and regression with artificial neural networks
• Classification of images with convolutional neural networks
• Image compression with autoencoders
• Imaging with GANs
• Object detection with Learning Transfer
• And a new technique called Style Transfer, for combining images

The course has a promotional value of R$ 19.99 valid until next Tuesday!","launch response number requests launched deep learning training pytorch python course content similar deep learning python z coding developed pytorch library summary content 

 • time series recurrent neural networks 
 • classification regression artificial neural networks 
 • classification images convolutional neural networks 
 • image compression autoencoders 
 • imaging gans 
 • object detection learning transfer 
 • new technique called style transfer combining images 

 course promotional value r$ 19.99 valid tuesday"
64,"😮😮 A nova arquitetura, chamada de Reformer, aplica as estratégias de hashing sensitivo à localidade e camadas reversíveis para permitir que o algoritmo processe janelas de contexto de até 1 milhão de palavras usando apenas um processador com 16 GB de memória, o que lhe habilita a compreender o contexto de um livro inteiro",2020-01-29T11:14:32+0000,228782997490446_1035147543520650,https://www.facebook.com/228782997490446/posts/1035147543520650/,57,,"😮😮 The new architecture, called Reformer, applies locale-sensitive hashing strategies and reversible layers to allow the algorithm to process context windows of up to 1 million words using only a processor with 16 GB of memory, which enables it to understand the context of an entire book",😮 😮 new architecture called reformer applies locale sensitive hashing strategies reversible layers allow algorithm process context windows million words processor gb memory enables understand context entire book
30,Novo curso! #pytorch #deeplearning #machinelearning #jonesgranatyr #iaexpert,2020-02-27T21:47:34+0000,228782997490446_1057602374608500,https://www.facebook.com/iaexpert/photos/a.248923412143071/1057602374608500/?type=3,53,,New course! #pytorch #deeplearning #machinelearning #jonesgranatyr #iaexpert,new course pytorch deeplearning machinelearning jonesgranatyr iaexpert
49,Laboratório de inteligência artificial no Paraná!,2020-02-09T21:04:06+0000,228782997490446_1041944566174281,https://www.facebook.com/228782997490446/posts/1041944566174281/,51,,Artificial intelligence laboratory in Paraná!,artificial intelligence laboratory paraná
83,Novos empregos!!,2020-01-12T17:52:03+0000,228782997490446_1019865978382140,https://www.facebook.com/228782997490446/posts/1019865978382140/,51,,New jobs!!,new jobs
42,"Boa notícia para a medicina! A Food and Drug Administration aprovou o uso de um algoritmo que foi treinado para avaliar a qualidade das imagens do coração obtidas por ultrassom, e dá orientações em tempo real ao técnico para garantir que as imagens tenham qualidade diagnóstica",2020-02-14T14:10:40+0000,228782997490446_1047517285617009,https://www.facebook.com/228782997490446/posts/1047517285617009/,46,,"Good news for medicine! The Food and Drug Administration has approved the use of an algorithm that has been trained to assess the quality of ultrasound images of the heart, and provides real-time guidance to the technician to ensure the images are diagnostic quality.",good news medicine food drug administration approved use algorithm trained assess quality ultrasound images heart provides real time guidance technician ensure images diagnostic quality
88,"A ferramenta recebe do usuário o endereço da residência, que ela encontra usando os serviços de mapeamento por satélite do Google, e o valor de sua última conta de luz, produzindo uma estimativa do número e posicionamento ideal de painéis solares a serem instalados, custos de instalação, e economia gerada",2020-01-07T19:08:58+0000,228782997490446_1017118221990249,https://www.facebook.com/228782997490446/posts/1017118221990249/,45,,"The tool receives from the user the address of the home, which it finds using Google's satellite mapping services, and the value of their last electricity bill, producing an estimate of the number and ideal placement of solar panels to be installed, costs of installation, and savings generated",tool receives user address home finds google satellite mapping services value electricity bill producing estimate number ideal placement solar panels installed costs installation savings generated
76,IA contra a dengue!,2020-01-19T00:46:16+0000,228782997490446_1025890371113034,https://www.facebook.com/228782997490446/posts/1025890371113034/,45,,AI against dengue!,ai dengue
81,Está pensando em fazer um mestrado na área de Inteligência Artificial ou tecnologia? Veja neste artigo algumas dicas sobre como escolher o curso ideal :),2020-01-14T14:20:31+0000,228782997490446_1023574164677988,https://www.facebook.com/228782997490446/posts/1023574164677988/,44,,Are you thinking about doing a master's degree in Artificial Intelligence or technology? See in this article some tips on how to choose the ideal course :),thinking master degree artificial intelligence technology article tips choose ideal course :)
