,text,translation,len,translation pre,Sentiment
0,"Com as promoções, tenho quase todos rs, já esperando próximo paga 1 leve 3 🤑🤑","With the promotions, I have almost all of them lol, already waiting for the next one pay 1 take 3 🤑🤑",77,promotions lol waiting pay 🤑 🤑,Positive
1,"Pra quem está em dúvida sobre o curso, já fiz um e estou pra começar outro. O Jones tem excelente didática. Lógico que o conteúdo não é simples, mas, começar bem faz toda a diferença na jornada","For those who are in doubt about the course, I've already done one and I'm about to start another. Jones has excellent teaching skills. Of course, the content is not simple, but starting well makes all the difference in the journey",193,doubt course start jones excellent teaching skills course content simple starting makes difference journey,Neutral
2,"Ola, Prof. Jones, tem como colocar um módulo desse assunto no seu novo curso de Deep Learning e TensorFlow com Python ? Eu também estou com esse curso e estou gostando muito ! 😀","Hello, Prof. Jones, can you put a module on this subject in your new Deep Learning and TensorFlow with Python course? I'm also with this course and I'm really enjoying it! 😀",177,hello prof jones module subject new deep learning tensorflow python course course enjoying 😀,Neutral
3,Bom dia Jones. Seria interessante incluir no curso como usar o pytorch xla e como configurar no collab. Precisei fazer isso e foi uma dor de cabeça hehe,Good morning Jones. It would be interesting to include in the course how to use pytorch xla and how to configure it in collab. I had to do this and it was a headache hehe,152,good morning jones interesting include course use pytorch xla configure collab headache hehe,Neutral
4,"Um fator importante hj em dia tem sido a disponibilidade de bolsas.. o cenário mudou bastante desde o último ano.. uma vez que o ms academico demanda maior dedicacao, ainda tendo que se mudar, o lado financeiro nao pode ser colocado em segundo plano, infelizmente..","An important factor nowadays has been the availability of scholarships.. the scenario has changed a lot since last year.. since the academic month demands greater dedication, still having to move, the financial side cannot be put in the background , Unfortunately..",265,important factor nowadays availability scholarships .. scenario changed lot year .. academic month demands greater dedication having financial background unfortunately ..,Neutral
5,"Tentei me inscrever no site pra fazer o curso: inseri nome e e-mail e recebi e-mail de confirmação, que me direciona para uma página que diz que fui registrado com sucesso. E nada mais. Sem senha, sem nada. Como proceder agora?","I tried to register on the site to take the course: I entered my name and email and received a confirmation email, which directs me to a page that says I have been successfully registered. And nothing else. No password, nothing. How to proceed now?",227,tried register site course entered email received confirmation email directs page says successfully registered password proceed,Neutral
6,eu sonhei com isso nessa madrugada,I dreamed about this this morning,34,dreamed morning,Neutral
7,Pois eh uma ferramenta muito poderosa,"Well, it's a very powerful tool.",37,powerful tool,Positive
8,"Isto é extremamente massa, é oq quero fazer na minha área","This is extremely cool, this is what I want to do in my area",57,extremely cool want area,Positive
9,nao eu prefiro a moda antigo !! osso com osso !!,"No, I prefer the old fashioned way!! bone on bone!!",48,prefer old fashioned way bone bone,Neutral
10,"""(...) os sistemas de inteligência artificial da Amazon podem lhe dar uma economia de US$ 23 bilhões por ano com salários e demais encargos"". 

Essa economia é mais que o dobro do lucro recorde (US$ 10,2 bi) da Petrobras no ano passado (2019). É impressionante o quanto de aumento nos lucros e na vantegem competitiva das empresas a IA pode proporcionar.","""(...) Amazon's artificial intelligence systems can save you $23 billion a year in wages and other charges.""

This savings is more than double the record profit (US$ 10.2 billion) of Petrobras last year (2019). It's amazing how much increase in profits and competitive advantage for companies AI can provide.",354,"... amazon artificial intelligence systems save billion year wages charges 

 savings double record profit us$ 10.2 billion petrobras year amazing increase profits competitive advantage companies ai provide",Positive
11,A🤖IA dará uma ótima contribuição ao estudar os padrões mentais e comportamentais das pessoas mais assertivas e de alta performance.,🤖IA will make a great contribution by studying the mental and behavioral patterns of the most assertive and high performing people.,131,🤖 ia great contribution studying mental behavioral patterns assertive high performing people,Neutral
12,Ótimo seria reprogramar este algoritmo para maior controle de produção dentro funcionalismo público ..;) Abç!,It would be great to reprogram this algorithm for greater production control within the civil service ..;) Thank you!,109,great reprogram algorithm greater production control civil service .. ;) thank,Positive
13,"🤖👏Parabéns! Atualmente é a melhor IA! Ela se diferencia porque vem se aproximando da lógica quântica, similar ao funcionamento de um TEA/Autista/Asperger.","🤖👏Congratulations! It is currently the best AI! It differs because it has been approaching quantum logic, similar to the functioning of an ASD/Autistic/Asperger.",154,🤖 👏 congratulations currently best ai differs approaching quantum logic similar functioning asd autistic asperger,Neutral
14,"Sou técnico em radiologia médica , e sei bem como é o exame de ressonância magnética. Não é fácil para os pacientes.","I am a medical radiology technician, and I know well what the MRI exam is like. It's not easy for patients.",116,medical radiology technician know mri exam like easy patients,Neutral
15,Samsung correndo pra não ficar atrás da Apple e da Huawei kkkkk,Samsung running not to be behind Apple and Huawei hahaha,63,samsung running apple huawei hahaha,Neutral
16,"Jones, estou procurando parceiros e investidores para ajudar a desenvolver este projeto!  Se souber de alguém, estou a disposição! Obg! Abç 

Our project brings together medical staff, scientists and engineers working with advanced programming to develop one of the world's largest and boldest healthcare projects, which is autonomous robotic surgery. 

https://www.airoboticshealth.com/","Jones, I'm looking for partners and investors to help develop this project! If you know of anyone, I'm available! Thanks! ABC

Our project brings together medical staff, scientists and engineers working with advanced programming to develop one of the world's largest and boldest healthcare projects, which is autonomous robotic surgery.

https://www.airoboticshealth.com/",387,"jones looking partners investors help develop project know available thanks abc 

 project brings medical staff scientists engineers working advanced programming develop world largest boldest healthcare projects autonomous robotic surgery 

",Neutral
17,Mais uma aplicação boa na minha área 🙂,Another good app in my area 🙂,38,good app area 🙂,Positive
18,"Agora não tenho tempo porque trabalho muito e estudo e não está sobrando pouco tempo, mas mais para frente vou tentar desenvolver um aplicativo para restaurar fotos antigas !🙂","Now I don't have time because I work a lot and study and there's not little time left, but later on I'll try to develop an app to restore old photos!🙂",175,time work lot study little time left later try develop app restore old photos 🙂,Neutral
19,O treinamento dessa IA deve ser interessante...rsrs,The training of this AI must be interesting...lol,51,training ai interesting ... lol,Positive
20,"Mestre Jones Granatyr - Inteligência Artificial, falando em eventos na área de inteligência artificial, quais seriam os eventos, congressos e conferências mais importantes/notáveis nessa área? Tem algum específico? Sei que a inteligência artificial é uma área multidisciplinar e acabamos vendo várias áreas como, nesse caso a área médica, falando de projetos aplicados, mas existe algum evento que seja uma referência mundial? (O maior evento, congresso, fórum sobre data science e inteligência artificial?!) E no Brasil, quais são? Saberia informar? E quando falamos em publicações científicas nessa área, por onde começaria a procurar para se manter atualizado e por dentro das novidades?","Master Jones Granatyr - Artificial Intelligence, speaking of events in the area of ​​artificial intelligence, what would be the most important/notable events, congresses and conferences in this area? Do you have any specifics? I know that artificial intelligence is a multidisciplinary area and we ended up seeing several areas such as, in this case, the medical area, talking about applied projects, but is there any event that is a world reference? (The biggest event, congress, forum on data science and artificial intelligence?!) And in Brazil, what are they? Would you be able to inform? And when we talk about scientific publications in this area, where would you start looking to stay updated and on top of the news?",690,master jones granatyr artificial intelligence speaking events area ​​artificial intelligence important notable events congresses conferences area specifics know artificial intelligence multidisciplinary area ended seeing areas case medical area talking applied projects event world reference biggest event congress forum data science artificial intelligence brazil able inform talk scientific publications area start looking stay updated news,Neutral
